T,9,100,1,10676778,5
T,7,100,1,10991725,5
T,9,109,1,12330077,0
T,9,100,1,12888594,0
T,7,103,1,14165610,0
T,6,101,4,15207669,1
T,9,100,1,16771773,1
T,9,104,1,17323318,1
T,10,272,3,17637668,0
T,4,100,1,19514992,2
T,8,112,2,21145350,0
T,9,101,1,21410605,3
T,9,105,1,21913863,4
T,9,100,1,22491800,5
T,9,101,1,24408947,1
T,4,101,1,25842073,3
T,10,100,3,26718398,0
T,8,112,2,28251901,5
T,9,102,1,29880990,4
T,7,101,1,30547111,3
T,10,100,3,32082851,0
T,8,100,2,33906295,1
T,4,101,1,34567788,3
T,4,101,1,36042342,1
T,9,108,1,36697835,1
T,5,101,2,38023800,5
T,9,107,1,38583748,2
T,10,100,3,39752302,0
T,9,100,1,40172833,0
T,9,107,1,40406060,4
T,9,108,1,41033313,4
T,10,100,3,42559970,0
T,9,109,1,44271838,2
T,9,101,1,45283606,2
T,5,100,2,47220402,5
T,9,109,1,48385087,1
T,10,272,3,50250195,0
T,9,103,1,51134349,1
T,9,109,1,51235548,4
T,9,108,1,51570151,0
T,10,272,3,52172318,0
T,4,100,1,53807239,0
T,9,101,1,55513310,4
T,5,101,2,55959606,4
T,7,103,1,56503779,3
T,10,100,3,58098941,0
T,8,112,2,60085568,3
T,9,101,1,60656792,1
T,4,100,1,61918449,4
T,7,100,1,62167332,0
T,9,100,1,62408680,1
T,10,272,3,62657278,0
T,9,104,1,63775265,5
T,6,100,4,65725756,5
T,9,108,1,67471222,1
T,9,107,1,67769037,1
T,4,101,1,68757345,2
T,9,100,1,70227740,5
T,10,100,3,70454853,0
T,9,105,1,71076323,0
T,6,101,4,72061072,1
T,5,101,2,73995001,1
T,10,272,3,75789546,0
T,10,100,3,75995637,0
T,9,109,1,76291223,0
T,10,100,3,76740002,0
T,9,108,1,78653305,1
T,9,100,1,79548069,1
T,4,101,1,81292384,2
T,9,104,1,82853242,3
T,10,272,3,83277874,0
T,6,100,4,84592503,0
T,9,100,1,85350179,5
T,4,101,1,87238462,4
T,9,100,1,87506467,4
T,10,100,3,88854346,0
T,4,100,1,89205766,3
T,10,100,3,90519847,0
T,9,101,1,91998458,3
T,9,109,1,92645323,2
T,6,101,4,93302357,1
T,9,104,1,94065428,3
T,10,100,3,94184963,0
T,9,101,1,95412464,0
T,6,101,4,96244388,1
T,10,100,3,97119342,0
T,7,101,1,98694772,4
T,7,103,1,98811178,4
T,9,109,1,100302404,2
T,4,100,1,100644475,2
T,10,100,3,101315630,0
T,7,100,1,102134702,5
T,6,101,4,103259227,4
T,7,100,1,104689417,0
T,9,104,1,104796852,0
T,8,100,2,105446212,5
T,5,101,2,107026103,4
T,9,100,1,107283900,0
T,10,100,3,108528085,0
T,4,101,1,109786814,4
T,5,100,2,110533278,0
T,8,100,2,111073840,2
T,9,101,1,112809862,2
T,9,107,1,114481630,4
T,5,100,2,116259114,1
T,10,272,3,116411094,0
T,5,101,2,118193503,3
T,9,103,1,118627365,2
T,9,101,1,120556431,3
T,4,101,1,121074965,1
T,10,272,3,121908251,0
T,7,100,1,122057878,1
T,9,107,1,122742150,2
T,10,272,3,123578556,0
T,9,107,1,125447841,5
T,9,100,1,127387123,0
T,10,100,3,128704707,0
T,10,272,3,128884938,0
T,5,101,2,130512807,2
T,9,107,1,131685338,4
T,5,100,2,131878423,2
T,9,100,1,133669798,4
T,9,103,1,134674294,2
T,4,101,1,135432622,4
T,9,101,1,137420157,5
T,7,101,1,138376619,5
T,8,112,2,138743560,4
T,6,101,4,140412511,5
T,10,272,3,141364112,0
T,9,100,1,142065813,2
T,6,101,4,143092305,3
T,9,103,1,144184648,4
T,10,100,3,145666358,0
T,4,101,1,147482716,0
T,10,100,3,148993670,0
T,8,100,2,149144893,1
T,4,101,1,151026922,4
T,9,108,1,152985285,3
T,9,103,1,154545645,5
T,9,107,1,154955124,1
T,9,100,1,156687589,0
T,9,102,1,157873825,5
T,9,109,1,159752915,1
T,5,100,2,161252926,3
T,9,109,1,162018348,4
T,10,272,3,163403173,0
T,10,272,3,165245002,0
T,10,272,3,167226583,0
T,5,101,2,167870147,3
T,9,104,1,168986420,4
T,9,104,1,169248914,3
T,9,103,1,170053237,2
T,8,100,2,170469551,1
T,7,103,1,172051019,1
T,6,101,4,172844927,3
T,9,107,1,173378690,0
T,10,272,3,175376273,0
T,9,100,1,176273989,4
T,9,105,1,177954140,2
T,9,107,1,179621793,4
T,9,103,1,180181953,3
